date,time,lat,lon,alt
2023-02-16,14:54:42,40.5333482929162,-86.98374889480084,0.0
2023-02-16,14:54:43,40.5333482929162,-86.98374889480084,0.0
2023-02-16,14:54:44,40.5333482929162,-86.98374889480084,0.0
2023-02-16,14:54:45,40.53334815803193,-86.98374889014603,0.0
2023-02-16,14:54:46,40.53334651661496,-86.98374874628651,0.699999988079071
2023-02-16,14:54:47,40.53334811792553,-86.9837451519494,1.2999999523162842
2023-02-16,14:54:48,40.533371459075205,-86.98368824408136,2.5999999046325684
2023-02-16,14:54:49,40.533419024133416,-86.98357935377585,3.799999952316284
2023-02-16,14:54:50,40.53348321739156,-86.98344211813117,5.099999904632568
2023-02-16,14:54:51,40.533550431229,-86.98330188559186,6.400000095367432
2023-02-16,14:54:52,40.53361792313421,-86.98316190485122,7.800000190734863
2023-02-16,14:54:53,40.53368570659163,-86.9830222025495,9.100000381469728
2023-02-16,14:54:54,40.53375379733029,-86.98288278329659,10.5
2023-02-16,14:54:55,40.53382220809788,-86.98274365723817,11.899999618530272
2023-02-16,14:54:56,40.53389094681031,-86.98260483028172,13.399999618530272
2023-02-16,14:54:57,40.5339600285455,-86.98246631586444,14.800000190734863
2023-02-16,14:54:58,40.53402942578626,-86.98232819685954,16.299999237060547
2023-02-16,14:54:59,40.53409208943186,-86.98220438133761,17.700000762939453
2023-02-16,14:55:00,40.53416926167255,-86.98205306470147,19.399999618530277
2023-02-16,14:55:01,40.53423984588858,-86.98191588430454,21.0
2023-02-16,14:55:02,40.53431083714001,-86.98177907608458,22.700000762939453
2023-02-16,14:55:03,40.5343822545484,-86.98164266144244,24.299999237060547
2023-02-16,14:55:04,40.53445410997048,-86.98150665015956,26.0
2023-02-16,14:55:05,40.53452642184244,-86.98137106367969,27.799999237060547
2023-02-16,14:55:06,40.53459921065654,-86.98123592400587,29.600000381469727
2023-02-16,14:55:07,40.53467248717293,-86.98110124015281,31.399999618530277
2023-02-16,14:55:08,40.53475369193579,-86.98095365765201,33.5
2023-02-16,14:55:09,40.53482061187366,-86.98082002843107,35.5
2023-02-16,14:55:10,40.53489550556593,-86.98070023043944,37.29999923706055
2023-02-16,14:55:11,40.53497856943679,-86.98055443714861,39.59999847412109
2023-02-16,14:55:12,40.53504708489314,-86.98043569874575,41.5
2023-02-16,14:55:13,40.53512383303294,-86.98030437963271,43.70000076293945
2023-02-16,14:55:14,40.5352090374207,-86.98016071139392,46.29999923706055
2023-02-16,14:55:15,40.535279418153294,-86.98004384147426,48.400001525878906
2023-02-16,14:55:16,40.53536626548645,-86.9799018625133,51.20000076293945
2023-02-16,14:55:17,40.53544610322991,-86.97977370214785,53.79999923706055
2023-02-16,14:55:18,40.53552680315647,-86.97964646268645,56.5
2023-02-16,14:55:19,40.53560845203272,-86.97952023908833,59.400001525878906
2023-02-16,14:55:20,40.53569114101156,-86.97939516186807,62.5
2023-02-16,14:55:21,40.53577488462265,-86.97927128013559,65.69999694824219
2023-02-16,14:55:22,40.53585982487259,-86.97914875186,69.0999984741211
2023-02-16,14:55:23,40.53594604235974,-86.97902773286638,72.80000305175781
2023-02-16,14:55:24,40.536030350707605,-86.97890925339706,76.30000305175781
2023-02-16,14:55:25,40.5360726574427,-86.97879831822068,77.9000015258789
2023-02-16,14:55:26,40.536063155061,-86.97868599668922,79.4000015258789
2023-02-16,14:55:27,40.53601252092566,-86.9785733043313,80.9000015258789
2023-02-16,14:55:28,40.53593276583664,-86.97845982254141,82.5
2023-02-16,14:55:29,40.53584365558128,-86.97834359670814,84.0
2023-02-16,14:55:30,40.53576284750488,-86.9782393213156,85.5
2023-02-16,14:55:31,40.53566364162004,-86.97811243499609,87.30000305175781
2023-02-16,14:55:32,40.53557302809567,-86.97799765048764,88.9000015258789
2023-02-16,14:55:33,40.53548200952344,-86.97788341034146,90.5999984741211
2023-02-16,14:55:34,40.535390583984345,-86.97776972590863,92.4000015258789
2023-02-16,14:55:35,40.53529873338486,-86.9776566218057,94.1999969482422
2023-02-16,14:55:36,40.53520644717047,-86.97754412052046,96.0
2023-02-16,14:55:37,40.53511371944704,-86.97743223132065,97.9000015258789
2023-02-16,14:55:38,40.5350205334918,-86.9773210005921,99.8000030517578
2023-02-16,14:55:39,40.53492688574089,-86.97721043654576,101.8000030517578
2023-02-16,14:55:40,40.53483275220668,-86.97710055527614,103.8000030517578
2023-02-16,14:55:41,40.53473812397949,-86.97699142603669,105.9000015258789
2023-02-16,14:55:42,40.53464298515898,-86.97688303872435,108.0999984741211
2023-02-16,14:55:43,40.53454731066096,-86.97677545465655,110.3000030517578
2023-02-16,14:55:44,40.53445108828602,-86.97666870829173,112.5999984741211
2023-02-16,14:55:45,40.53435428972879,-86.97656285768025,115.0
2023-02-16,14:55:46,40.53425689463406,-86.97645793856493,117.4000015258789
2023-02-16,14:55:47,40.5341588799052,-86.97635399006414,120.0
2023-02-16,14:55:48,40.53406020668229,-86.97625110825483,122.6999969482422
2023-02-16,14:55:49,40.533960851937216,-86.976149336989,125.5
2023-02-16,14:55:50,40.533860779997,-86.97604876043198,128.39999389648438
2023-02-16,14:55:51,40.53375994720418,-86.97594946696665,131.39999389648438
2023-02-16,14:55:52,40.53365830671441,-86.97585156250896,134.6999969482422
2023-02-16,14:55:53,40.53355582040451,-86.97575513857693,138.10000610351562
2023-02-16,14:55:54,40.53345241321898,-86.97566037201797,141.6999969482422
2023-02-16,14:55:55,40.53336898334437,-86.97558585448483,144.8000030517578
2023-02-16,14:55:56,40.53324285298667,-86.97547652084957,149.60000610351562
